message_id,message,sentiment,confidence,labeled_by,timestamp
53770,{'Message': 'gachiHYPER DAAAAA'},Excitement,4,,2026-01-26 17:27:00
37986,{'Message': 'OMEGALUL'},Humor,5,,2026-01-26 17:27:17
23208,{'Message': 'LMAO'},Humor,4,,2026-01-26 17:27:35
67783,{'Message': 'cum?'},Humor,3,,2026-01-26 17:40:27
57371,{'Message': 'WWWWWWWWW'},Excitement,5,,2026-01-26 17:40:34
50632,{'Message': 'OMEGALUL'},Humor,4,,2026-01-26 17:40:42
34451,{'Message': 'sort low views maybe'},Boredom,2,,2026-01-26 17:41:05
50011,{'Message': 'gachiHYPER SOUNDING'},Humor,5,,2026-01-26 17:43:04
82645,{'Message': 'wwwwwww'},Excitement,5,,2026-01-26 17:43:10
85153,{'Message': 'WICKED'},Excitement,3,,2026-01-26 17:43:26
62168,{'Message': 'omE'},Humor,3,,2026-01-26 17:43:47
25277,{'Message': 'EQUIP ROLLING PIN'},Excitement,3,,2026-01-26 17:44:22
65689,{'Message': 'what does pirate software usually stream'},Neutral,4,,2026-01-26 17:44:41
22519,{'Message': 'just want kai see the application'},Confusion,3,,2026-01-26 17:44:56
86782,{'Message': 'pepeW'},Excitement,3,,2026-01-26 17:45:10
58342,{'Message': 'raiders LULE'},Humor,4,,2026-01-26 17:45:30
25682,{'Message': 'doing'},Neutral,2,,2026-01-26 17:45:44
45141,{'Message': 'DONT DESERVE THAT SPOT'},Frustration,5,,2026-01-26 17:45:58
44078,{'Message': 'KEKW'},Humor,5,,2026-01-26 17:46:28
51355,{'Message': 'WWW'},Excitement,5,Jason,2026-01-26 17:47:33
61254,{'Message': 'they ass'},Frustration,3,Jason,2026-01-26 17:47:49
36342,{'Message': 'family'},Humor,3,Jason,2026-01-26 17:48:00
79369,{'Message': 'NOOO'},Frustration,5,Jason,2026-01-26 17:48:10
28876,{'Message': 'wtf'},Frustration,5,Jason,2026-01-26 17:48:14
72288,{'Message': 'drink water'},Neutral,4,Jason,2026-01-26 17:48:31
34223,{'Message': 'mean how many ACTI Ubi games have not enjoyed even hate corps behind them'},Frustration,4,Jason,2026-01-26 17:48:47
60170,{'Message': 'chat'},Neutral,3,Jason,2026-01-26 17:49:04
